rollno:10    marks:100;roll.no:48	marks:156
roll.no:12	marks:96

roll.no:78	marks:200

roll.no:1	marks:100

roll.no:2	marks:515

roll.no:3	marks:15

roll.no:4	marks:212

roll.no:5	marks:121

roll.no:1	marks:45

roll.no:2	marks:56

roll.no:3	marks:56

roll.no:4	marks:5659

roll.no:5	marks:89

roll.no:45	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

roll.no:0	marks:1212

